index,Publishing Year,Book Name,Author,language_code,Author_Rating,Book_average_rating,Book_ratings_count,genre,gross sales,publisher revenue,sale price,sales rank,Publisher,units sold,language
558,1987.0,Equal Rites,Terry Pratchett,English,Intermediate,4.0,88673,popular_fiction,145.53,0.0,0.99,625,"Amazon Digital Services,  Inc.",3969,English
559,2000.0,House of Leaves,Mark Z. Danielewski,English,Excellent,4.13,75469,popular_fiction,439.53,0.0,2.99,625,"Amazon Digital Services,  Inc.",3969,English
560,1993.0,Cruel & Unusual,Patricia Cornwell,Dutch,Excellent,4.11,83695,popular_fiction,439.53,263.718,2.99,626,"Amazon Digital Services,  Inc.",3969,Dutch
561,2013.0,Sycamore Row,John Grisham,English,Intermediate,3.98,56315,popular_fiction,1074.57,644.742,7.31,627,Penguin Group (USA) LLC,3969,English
562,2011.0,Awakened,"P.C. Cast, Kristin Cast",English,Excellent,4.02,101234,popular_fiction,675.98,405.588,4.63,628,Hachette Book Group,3942,English
563,1918.0,My Ãntonia,Willa Cather,English,Intermediate,3.76,81102,popular_fiction,582.54,0.0,3.99,629,"Amazon Digital Services,  Inc.",3942,English
564,2006.0,Life As We Knew It,Susan Beth Pfeffer,English,Intermediate,3.89,94282,nonfiction,1097.92,658.752,7.52,629,"Amazon Digital Services,  Inc.",3942,English
565,2004.0,America (The Book): A Citizen's Guide to Democracy Inaction,"Jon Stewart, Ben Karlin, David Javerbaum, Rich Bloomquist, Steve Bodow, Tim Carvell, Eric Drysdale, J.R. Havlan, Scott Jacobson, Tom Johnson, Rob Kutner, Chris Regan, Jason Reich, Jason Ross, Stephen Colbert, Samantha Bee, Rob Corddry, Brendan Hay, Ed Helms",English,Excellent,4.02,74511,nonfiction,1166.54,699.924,7.99,630,Random House LLC,3942,English
566,2004.0,90 Minutes in Heaven,"Don Piper, Cecil Murphey",,Intermediate,3.91,67937,popular_fiction,1251.22,750.732,8.57,631,"Amazon Digital Services,  Inc.",3942,
567,2012.0,The Longest Ride,Nicholas Sparks,English,Excellent,4.14,71276,popular_fiction,144.54,0.0,0.99,631,"Amazon Digital Services,  Inc.",3942,English
568,-300.0,é“å¾·ç¶“ [dÃ o dÃ© jÄ«ng],"Lao Tzu, Gia-Fu Feng, Jane English, Chungliang Al Huang, Rowena Pattee Kryder, Toinette Lippe",English,Excellent,4.31,39863,popular_fiction,665.55,399.33,4.59,632,Penguin Group (USA) LLC,3915,English
569,1979.0,Kane and Abel,Jeffrey Archer,English,Excellent,4.27,74052,fiction,723.55,0.0,4.99,632,"Amazon Digital Services,  Inc.",3915,English
570,2008.0,Change of Heart,Jodi Picoult,English,Intermediate,3.91,86471,popular_fiction,990.35,594.21,6.83,634,Simon and Schuster Digital Sales Inc,3915,English
571,2003.0,Dry: A Memoir,Augusten Burroughs,English,Excellent,4.01,70550,children,1448.55,869.13,9.99,635,"Amazon Digital Services,  Inc.",3915,English
572,2001.0,Sam's Letters To Jennifer,James Patterson,,Excellent,4.15,77538,popular_fiction,868.55,521.13,5.99,636,Hachette Book Group,3915,
